category,question,brand_named,answer_had_ai_overview,n_sources_cited,captured_at
beauty,best vitamin C serum for oily acne prone skin in India,Deconstruct,yes,6,2026-09-16
beauty,best vitamin C serum for oily acne prone skin in India,Minimalist,yes,6,2026-09-16
beauty,best vitamin C serum for oily acne prone skin in India,Plum,yes,6,2026-09-16
beauty,best vitamin C serum for oily acne prone skin in India,The Derma Co,yes,6,2026-09-16
beauty,best niacinamide serum for open pores India,Deconstruct,yes,8,2026-09-16
beauty,best niacinamide serum for open pores India,Minimalist,yes,8,2026-09-16
beauty,best niacinamide serum for open pores India,Pilgrim,yes,8,2026-09-16
beauty,best niacinamide serum for open pores India,The Derma Co,yes,8,2026-09-16
beauty,best sunscreen for oily skin India no white cast,Deconstruct,yes,3,2026-09-16
beauty,best sunscreen for oily skin India no white cast,Dr. Sheth's,yes,3,2026-09-16
beauty,best sunscreen for oily skin India no white cast,Minimalist,yes,3,2026-09-16
beauty,best sunscreen for oily skin India no white cast,Re'Equil,yes,3,2026-09-16
beauty,best retinol serum for beginners India under 1000,Dot & Key,yes,5,2026-09-16
beauty,best retinol serum for beginners India under 1000,Foxtale,yes,5,2026-09-16
beauty,best retinol serum for beginners India under 1000,Minimalist,yes,5,2026-09-16
beauty,best retinol serum for beginners India under 1000,The Derma Co,yes,5,2026-09-16
beauty,best face serum for dark spots and pigmentation India,Minimalist,yes,7,2026-09-16
beauty,best face serum for dark spots and pigmentation India,Plum,yes,7,2026-09-16
beauty,best face serum for dark spots and pigmentation India,The Derma Co,yes,7,2026-09-16
beauty,best face serum for dark spots and pigmentation India,The Ordinary,yes,7,2026-09-16
beauty,best face wash for acne prone oily skin India,Cetaphil,yes,10,2026-09-16
beauty,best face wash for acne prone oily skin India,Dr. Sheth's,yes,10,2026-09-16
beauty,best face wash for acne prone oily skin India,Minimalist,yes,10,2026-09-16
beauty,best face wash for acne prone oily skin India,Plum,yes,10,2026-09-16
beauty,best face wash for acne prone oily skin India,The Derma Co,yes,10,2026-09-16
beauty,best salicylic acid face wash India,Deconstruct,yes,13,2026-09-16
beauty,best salicylic acid face wash India,Minimalist,yes,13,2026-09-16
beauty,best salicylic acid face wash India,The Derma Co,yes,13,2026-09-16
beauty,best under eye cream for dark circles India,Minimalist,yes,9,2026-09-16
beauty,best under eye cream for dark circles India,Plum,yes,9,2026-09-16
